KStochastic,DStochastic,SMA10,SMA20,SMA30,SMA200,macd,cci,rsi,rsim,log_cc_move
92.70851045083161,88.22728258530964,17.329399871826173,16.19187488555908,15.568599891662597,13.831910009384154,0.0771007616404995,202.71123765011868,71.00535766573952,65.88844362855956,0.010796813518844317
94.90323027249481,91.6150981511626,17.48179988861084,16.373024892807006,15.666991551717123,13.85771125793457,0.009580613204351218,191.14676526581374,68.13389404141553,66.48628710963413,-0.01286066840801725
92.85881492833079,93.49018521721906,17.58499984741211,16.5627498626709,15.78229153951009,13.881023755073548,-0.036858701461728316,180.5089958896074,68.26119823664366,67.0679737306169,0.0012219249090983375
90.84767453980658,92.86990658021072,17.75374984741211,16.792324829101563,15.922249857584635,13.907437500953675,0.0849090152844807,206.9764508894563,72.71791331087613,68.12292520690312,0.0464606844896549
85.35358355069593,89.68669100627777,17.859799766540526,16.993637323379517,16.05944153467814,13.931526250839234,0.09994398177473562,220.76466205528365,72.4844963895066,68.80351487189674,-0.0009920300376133895
75.07168372662277,83.7576472723751,17.940624809265138,17.16541233062744,16.179941527048747,13.951929998397826,0.0317779355139054,180.74749643591718,69.79507603717147,69.28328486553626,-0.011412208675566582
69.9498600951644,76.79170912416104,18.083599662780763,17.329149770736695,16.333974838256836,13.981286244392395,0.06200813631774604,197.26166161208172,72.15212755516922,69.71617681331426,0.024630036887946183
73.92325627708118,72.98160003295611,18.253499603271486,17.499624729156494,16.492341486612954,14.013459987640381,0.07553392676073334,202.51486149280015,72.97381075749115,70.1327890121807,0.008986978529076595
84.59601518849776,76.15637718691444,18.431549644470216,17.67489972114563,16.673908138275145,14.049922485351562,0.07562466859201011,202.94684240824873,73.68275905836083,70.38033603707471,0.007749120314457514
86.21874731479043,81.57933959345645,18.55212459564209,17.85204973220825,16.852766482035317,14.08150248527527,0.009828329922925372,187.40718766384947,71.36895692842867,70.4487008886213,-0.009127442321227086
89.8493878716733,86.88805012498716,18.74874973297119,18.03907480239868,17.04416650136312,14.11986873626709,0.13423180106253807,208.6321317055559,75.74178882546953,70.96304495495723,0.048912786952805654
92.08112898705281,89.38308805783885,18.97257480621338,18.22718734741211,17.23954153060913,14.15917998790741,0.15181405823234995,203.9837387522419,75.91084996857393,71.57133342030114,0.0020868853849047575
95.79071699100939,92.5737446165785,19.191799926757813,18.38839988708496,17.439099884033205,14.19483124256134,0.10901072399382361,197.84709631972487,75.5895634881463,72.12935630412359,-0.0012116156469894612
94.14424749231803,94.00536449012674,19.3472749710083,18.550512409210206,17.64397487640381,14.230936241149902,0.08928716816850635,197.72235115773879,76.49209471571717,72.59356335562212,0.010419189703417153
94.8774782157905,94.93748089970597,19.53209991455078,18.695949840545655,17.839791520436606,14.270798740386963,0.09350845045472456,196.26707666620425,77.63195946854836,73.06689205582276,0.01351403266824791
95.36199030201335,94.79457200337396,19.759224891662598,18.849924850463868,18.03001651763916,14.31197373867035,0.09487102169356865,195.19512656942672,78.47481699409214,73.80552940958536,0.010270703583178609
92.69847084009773,94.31264645263387,19.907724952697755,18.99566230773926,18.18867483139038,14.352886238098144,-0.005412944256734775,183.34612689485587,73.95434445982485,74.21218271124117,-0.01591208718713899
79.89915839553997,89.31987317921703,19.992275047302247,19.122887325286865,18.33050816853841,14.389813737869263,-0.16105373838453252,155.27632235937625,68.04678857023521,73.87853094405253,-0.023291217304992173
67.60223561626597,80.06662161730122,20.076749992370605,19.25414981842041,18.475516478220623,14.42687623500824,-0.20363369728125846,151.00004937429367,68.86800385393535,73.62021004865458,0.007383663697759779
66.99704040516447,71.49947813899013,20.22490005493164,19.388512325286865,18.642999839782714,14.468819990158082,-0.1334290453706828,159.80774686303036,71.29556392962556,73.72738775525845,0.022792916007930764
69.49842956274301,68.03256852805782,20.251399993896484,19.500074863433838,18.77651653289795,14.508329992294312,-0.15880644621436613,149.5641133981382,68.12796755051528,73.43994775492602,-0.0128797000575398
61.239503951604156,65.91165797317053,20.232874870300293,19.602724838256837,18.895749855041505,14.543168740272522,-0.24691512839096386,135.842447089373,63.516834248695524,72.7644494328692,-0.020379123552512368
35.7884504515951,55.50879465531409,20.12924976348877,19.66052484512329,18.968683179219564,14.572824988365173,-0.4343009508940252,107.37450972591176,55.12328050472597,71.43877239332384,-0.04511461430103614
14.021213619180338,37.016389340793204,19.92414970397949,19.635712337493896,19.008391507466634,14.59750123500824,-0.6222674255669118,80.6913147255212,48.88301475112967,69.83263366637392,-0.043384656611628714
12.954280801239825,20.92131495733842,19.753424835205077,19.64276237487793,19.04844150543213,14.623747487068176,-0.5174061451003534,81.54706485527291,53.161100366728675,68.21972734789243,0.03350280644575632
19.44140369246008,15.472299370960082,19.54477481842041,19.651999855041502,19.08154150644938,14.648734984397889,-0.446324740064195,78.48618559078709,51.924037873293884,66.506383626801,-0.008972697785480044
35.50148039467332,22.632388296124407,19.448599815368652,19.678162384033204,19.146641476949057,14.680473732948304,-0.21747758355594937,97.51499188613359,56.93011810589539,65.17356609949736,0.04198188157196858
44.52013136060048,33.15433848257796,19.417724800109863,19.704999923706055,19.2211664835612,14.710231232643128,-0.0658470836684506,105.70685396286514,57.98921263967906,63.85193166549464,0.009435000594102405
57.40350993107791,45.808373895450565,19.368499946594238,19.72262496948242,19.292266527811687,14.739338736534119,-0.007554460106272032,100.1691284617801,57.69774832889262,62.428059441233515,-0.0018389511569214534
58.148930824613025,53.357524038763806,19.246649932861327,19.735774993896484,19.34122486114502,14.76598874092102,-0.038532688855557495,88.8221690429893,55.54791387987848,60.79042350450397,-0.013590239583311181
